resume_id,jd_id,relevance
resume_backend_strong,jd_backend_engineer,3
resume_backend_partial,jd_backend_engineer,2
resume_backend_java,jd_backend_engineer,2
resume_frontend_strong,jd_backend_engineer,0
resume_frontend_partial,jd_backend_engineer,0
resume_frontend_backend_mix,jd_backend_engineer,2
resume_data_strong,jd_backend_engineer,1
resume_data_partial,jd_backend_engineer,1
resume_data_deep_learning,jd_backend_engineer,1
resume_unrelated,jd_backend_engineer,0
resume_backend_strong,jd_frontend_engineer,0
resume_backend_partial,jd_frontend_engineer,0
resume_backend_java,jd_frontend_engineer,0
resume_frontend_strong,jd_frontend_engineer,3
resume_frontend_partial,jd_frontend_engineer,2
resume_frontend_backend_mix,jd_frontend_engineer,1
resume_data_strong,jd_frontend_engineer,0
resume_data_partial,jd_frontend_engineer,0
resume_data_deep_learning,jd_frontend_engineer,0
resume_unrelated,jd_frontend_engineer,0
resume_backend_strong,jd_data_scientist,1
resume_backend_partial,jd_data_scientist,1
resume_backend_java,jd_data_scientist,1
resume_frontend_strong,jd_data_scientist,0
resume_frontend_partial,jd_data_scientist,0
resume_frontend_backend_mix,jd_data_scientist,1
resume_data_strong,jd_data_scientist,3
resume_data_partial,jd_data_scientist,2
resume_data_deep_learning,jd_data_scientist,3
resume_unrelated,jd_data_scientist,0
